removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
highest_first,107,5,5,5,0,0,0,0,5.1027949084,5.316396162,0.38846916673722975,4.58948895,5.439994639
highest_first,109,5,5,5,0,0,0,0,5.3557870528,5.424623848,0.5558801425799639,4.509014428,6.068234568
highest_first,111,5,5,5,0,0,0,0,5.0351655496,4.995571838,0.3268928422503611,4.598877248,5.512269971
highest_first,113,5,5,5,0,0,0,0,5.4880203338,5.578685491,0.17016597305649317,5.254266844,5.63190214
highest_first,115,5,5,5,0,0,0,0,5.126690648399999,4.980578327,0.5267068675213187,4.561720221,5.680358888
highest_first,117,5,5,5,0,0,0,0,5.652229168,5.691831807,0.647948975547864,4.670828583,6.493501661
highest_first,119,5,5,5,0,0,0,0,5.248912149,5.331308679,0.7674411082322361,4.483179919,6.265294619
highest_first,121,5,5,5,0,0,0,0,5.5735564462,5.845615963,0.6869479899180653,4.494747695,6.283321924
highest_first,123,5,5,5,0,0,0,0,5.4142809906,5.472134677,0.53082880264493,4.864958964,6.126188198
highest_first,125,5,5,5,0,0,0,0,5.148688657,5.01104222,0.46716447870080485,4.755375866,5.885407945
highest_first,127,5,5,5,0,0,0,0,5.9345453059999995,6.114206238,0.35967502858468053,5.470189436,6.281888109
highest_first,129,5,5,5,0,0,0,0,5.9276082528,5.809217403,0.3849135103337428,5.461292462,6.433989629
highest_first,131,5,5,5,0,0,0,0,6.057206989,6.15706921,0.3735682620708846,5.460882268,6.421756188
highest_first,133,5,5,5,0,0,0,0,6.4390510656,6.450412993,0.13296021348118992,6.238761118,6.613063447
highest_first,135,5,5,5,0,0,0,0,6.2832841568,6.094748016,0.35532661940495097,5.944005976,6.694537617
highest_first,137,5,5,5,0,0,0,0,6.1964418818,6.49325344,0.540172937668328,5.441481558,6.655409123
highest_first,139,5,5,5,0,0,0,0,5.972336178,6.12432653,0.3642091902301775,5.431387091,6.341633231
highest_first,141,5,5,5,0,0,0,0,6.5018852276,6.72811605,0.4385648598068278,5.776940199,6.837815239
highest_first,143,5,5,5,0,0,0,0,6.476967061,6.484713386,0.5451356390209787,5.826606916,7.126339663
highest_first,145,5,5,5,0,0,0,0,6.5541106484,6.770534726,0.594437407015517,5.831886437,7.184510453
highest_first,147,5,5,5,0,0,0,0,6.7181930526,6.841137608,0.36825973069483,6.231093929,7.159478106
highest_first,149,5,5,5,0,0,0,0,6.655237276799999,6.644620334,0.48499662696546425,6.084098932,7.354091917
fewest_mandatory_supports,1,5,5,5,0,0,0,0,0.000702876,0.000699115,3.0695435523868993e-05,0.000661373,0.000733615
fewest_mandatory_supports,3,5,5,5,0,0,0,0,0.0055594504,0.005552053,0.0001518304376065615,0.005324609,0.005708047
fewest_mandatory_supports,5,5,5,5,0,0,0,0,0.0090690622,0.009287996,0.0006123284527373359,0.008363751,0.009695538
fewest_mandatory_supports,7,5,5,5,0,0,0,0,0.0134250344,0.013255243,0.0005105572831096429,0.012895238,0.013982411
fewest_mandatory_supports,9,5,5,5,0,0,0,0,0.018574238,0.018187022,0.0011093248460011611,0.017633275,0.020263316
fewest_mandatory_supports,11,5,5,5,0,0,0,0,0.023918186,0.022325422,0.003254859213328051,0.021155843,0.028251225
fewest_mandatory_supports,13,5,5,5,0,0,0,0,0.0436062722,0.037245474,0.011845382757421885,0.033136765,0.057089932
fewest_mandatory_supports,15,5,5,5,0,0,0,0,0.060756208,0.053544275,0.017407838716082376,0.040400937,0.079676974
fewest_mandatory_supports,17,5,5,5,0,0,0,0,0.0704725188,0.061446051,0.015264030802848908,0.057745067,0.087472861
fewest_mandatory_supports,19,5,5,5,0,0,0,0,0.0904758648,0.088719684,0.005797265692912926,0.082856652,0.097445488
fewest_mandatory_supports,21,5,5,5,0,0,0,0,0.1153161612,0.10922429,0.02799476170375693,0.084899439,0.144873686
fewest_mandatory_supports,23,5,5,5,0,0,0,0,0.152815454,0.136795429,0.03285699618113302,0.123819143,0.188980927
fewest_mandatory_supports,25,5,5,5,0,0,0,0,0.201595262,0.185024399,0.04449302098780786,0.144508298,0.247273289
fewest_mandatory_supports,27,5,5,5,0,0,0,0,0.2077412328,0.204153595,0.05102605426733011,0.155874566,0.291071662
